"%1$s incl tax.","%1$s incl. impuestos."
"Changing address information will not recalculate shipping, tax or other order amount.","El cambio de la información de la dirección no efectua calcular de nuevo los gastos del envío, de impuestos ni el total del pedido."
"Checkout Totals Sort Order","Verificar los totales ordenados de los pedidos"
"City","Ciudad"
"Clear Shopping Cart","Limpiar Carrito de compra"
"Click to change shipping method","Haz click aquí para cambiar el método de envío"
"Close","Cerrar"
"Closed","Cerrado"
"Comma-separated.","Separados por coma."
"Comment","Comentario"
"Comment Text","Texto del comentario"
"Comments","Comentarios"
"Comments History","Historial de comentarios"
"Company","Empresa:"
"Complete","Procesando"
"Configure","Configurar"
"Configure and Add to Order","Configurar y añadir al pedido"
"Contents","Contenidos"
"Continue","Continuar"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","La IP del cliente debe ser muestrada en los pedidos, las facturas, los envíos y las facturas rectificadas?"
"Country","País"
"Coupons","Cupones"
"Company Structure","Estructura de la compañía"
"Create","Crear"
"Create New Customer","Nuevo cliente"
"Create New Order","Nuevo pedido"
"Create New Order Status","Nuevo estado de pedido"
"Create New Order for %s","Crear un nuevo pedido para %s"
"Create New Order for %s in %s","Crear un nuevo pedido para %s en %s"
"Create New Order for New Customer","Crear un nuevo pedido para un nuevo cliente"
"Create New Order for New Customer in %s","Crear un nuevo pedido para un nuevo cliente en %s"
"Create New Status","Nuevo estado"
"Create Order","Crear pedido"
"Create Packages","Crear paquetes"
"Create Shipment","Crear envío"
"Create Shipping Label","Crear etiqueta de envío"
"Create Shipping Label...","Crear etiqueta de envío..."
"Create new credit memo for order","Crear nueva factura rectificada para el pedido"
"Create new invoice for order","Crear nueva factura para el pedido"
"Create new shipment for order","Crear nuevo envío para el pedido"
"Create...","Crear..."
"Created At","Creado el"
"Created billing agreement #%s.","Crear contrato de facturación nº %s."
"Created:","Creado:"
"Credit Memo","Factura rectificativa"
"Credit Memo #","Factura rectificativa nº "
"Credit Memo # ","Factura rectificativa nº "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Factura rectificativa nº %1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Remitente del comentario por email de la factura rectificativa"
"Credit Memo Comment Email Template","Plantilla de comentario por email de la factura rectificativa"
"Credit Memo Comment Email Template for Guest","Plantilla de comentario por email de la factura rectificativa para visitantes"
"Credit Memo Comments","Comentarios de la factura rectificativa"
"Credit Memo Email Sender","Remitente del correo electrónico de la factura rectificativa"
"Credit Memo Email Template","Plantilla para el correo electrónico de la factura rectificativa"
"Credit Memo Email Template for Guest","Plantilla para el correo electrónico de la factura rectificativa para visitantes"
"Credit Memo Update","Actualización de la factura rectificativa"
"Credit Memo Update for Guest","Actualización de la factura rectificativa para visitantes"
"Credit Memos","Facturas rectificativas"
"Credit memo #%s comment added","Comentario añadido a la factura rectificativa nº %s"
"Credit memo #%s created","Creado factura rectificativa nº %s"
"Credit memo canceling problem.","Problema con la cancelación de la factura rectificativa."
"Credit memo cannot be canceled.","No se puede cancelar la factura rectificativa."
"Credit memo has been created automatically","La factura rectificativa se ha creado de forma automatizada."
"Custom Price","Precio personalizado"
"Custom Value","Valor personalizado"
"Customer","Cliente"
"Customer Can Define Start Date","El cliente puede fijar la fecha de inicio"
"Customer Email","Correo electrónico del cliente"
"Customer Group","Grupo de clientes"
"Customer Last Name","Apellidos"
"Customer Middle Name","Segundo nombre"
"Customer My Account Order Creditmemo View","Cliente - Mi cuenta - Resumen de facturas rectificativas"
"Customer My Account Order History","Cliente - Mi cuenta - Historial de pedidos"
"Customer My Account Order Invoice View","Cliente - Mi cuenta - Resumen de facturas"
"Customer My Account Order Shipment View","Cliente - Mi cuenta - Resumen de envíos"
"Customer My Account Order View","Cliente - Mi cuenta - Resumen de pedidos"
"Customer Name","Nombre"
"Customer\'s Current Activities","Actividades actuales del cliente"
"Customs Value","Valor en aduana"
"Check Gift Card Status and balance","Saldo de tarjeta de regalo"
"Date","Fecha"
"Date Shipped","Fecha del envío"
"Default Status","Estado (predeterminado)"
"Default Template","Plantilla (predeterminada)"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","Se utilizará el logotipo por defecto en los documentos PDF y HTML.<br />(jpeg, tiff, png) Si ve la imagen distorsionada en PDF, utilice una imagen más grande."
"Delete","Eliminar"
"Delete Package","Eliminar paquete"
"Denied the payment online.","Denegado el pago en línea."
"Deny Payment","Denegar el pago"
"Description Message","Mensaje de descripción"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Discount Amount","Cantidad descontada"
"Display Order ID in Header","Mostrar ID del pedido en la cabecera"
"Edit","Editar"
"Edit Order #%s","Modificar el pedido nº %s"
"Edit Order %s %s Address","Editar la dirección del pedido %s %s"
"Edit Order Status","Editar estado de pedido"
"Email Address","Dirección de correo electrónico"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Email Copy of Invoice","Enviar una copia de la factura por correo electrónico"
"Email Copy of Shipment","Enviar una copia del envío por correo electrónico"
"Email Order Confirmation","Enviar una confirmación del pedido por correo electrónico"
"Enable","Habilitar"
"Enabled","Habilitado"
"Enter the billing last name and email/ZIP as in the order billing address","Introduce el apellido y correo electrónico/código postal para facturación como en la dirección de facturación del pedido."
"Entered data is incorrect. Please try again.","Los datos introducidos son incorrectos. Por favor, inténtalo de nuevo."
"Error to Show in Shopping Cart","Error a mostrar en la cesta de la compra"
"Excel XML","Excel XML"
"Excl. Tax","Sin impuestos"
"Expired","Caducado"
"Explanation","Explicación"
"Failed to cancel the billing agreement.","No se ha podido cancelar el acuerdo de facturación"
"Failed to create billing agreement for this order.","No se ha podido crear un acuerdo de facturación para este pedido."
"Failed to finish billing agreement wizard.","El asistente de acuerdos de facturación no ha podido finalizar."
"Failed to send the order email.","No se pudo enviar el email del pedido."
"Failed to start billing agreement wizard.","El asistente de acuerdos de facturación no ha podido iniciarse."
"Failed to update the payment.","No se pudo actualizar el pago."
"Failed to update the profile.","No se ha podido actualizar el perfil."
"Failed to void the payment.","No se pudo anular el pago."
"Fetch","Capturar"
"File extension not known or unsupported type in the following shipment: %s","Extensión de archivo desconocida o no se admite el tipo en el siguiente envío:% s"
"Find Order By:","Buscar pedido por:"
"First Name","NOMBRE (S)"
"From","Desde"
"From Name","Por nombre"
"From:","Desde:"
"G.T. (Base)","Total (Base)"
"G.T. (Purchased)","Total (Comprado)"
"General","General"
"General Information","Información general"
"Get Payment Update","Recibir la actualización de pago"
"Get Update","Actualizar"
"Get shipping methods and rates","Obtener métodos de envío y tarifas"
"Gift Message","Mensaje de regalo"
"Gift Message for This Order","Mensaje de regalo para este pedido"
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Gift Options","Opciones de regalo"
"Gift Wrapping for the Entire Order","Papel para regalo para el pedido completo"
"Girth","Circunferencia"
"Printed Card","Tarjeta impresa"
"Go to Home Page","Ir a inicio"
"Grand Total","Total"
"Grand Total to Be Charged","Importe total a cobrar"
"Grand Total to be Charged","Importe total a cobrar"
"Grand Total (Excl. Tax)","Suma total (impuestos no incl.)"
"Grand Total (Incl. Tax)","Suma total (impuestos incl.)"
"Guest","Visitante"
"Height","Altura"
"Hide Customer IP","Ocultar la IP del cliente"
"Hold","Reservar"
"Hold action is not available.","La acción reservar no está disponible."
"Hold order","Reservar pedido"
"Home","Inicio"
"ID","ID"
"ID #","ID Nº"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s""","IPN ""Reembolsado"". Reembolso expedido por el minorista. Notificación registrada sobre la cantidad reembolsada %s. ID de la transacción: ""%s""."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Reembolsado"". Reembolso expedido por el minorista. Notificación registrada sobre la cantidad reembolsada %s. ID de la transacción: ""%s"". No se ha creado una factura rectificada. Por favor, cree una factura rectificada fuera de línea."
"If empty, the default description above will be used.","Si está vacío, se utilizará la descripción predeterminada anterior."
"If empty, the default error above will be used.","Si está vacío, se utilizará el error predeterminada anterior."
"If the invoice was created offline, try creating an offline creditmemo.","Si la factura se creó fuera de línea, intente crear un creditmemo en línea."
"Incl. Tax","Impuestos incluidos"
"Information","Información"
"Initial Fee","Tarifa inicial"
"Initial Fees","Tarifas iniciales"
"Initial period payment","Período inicial de pago."
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","Información insuficiente para crear etiquetas de envío. Por favor, verifique su información y sus preferencias de envío."
"Invalid block: %s.","Bloque no válido: %s."
"Invalid carrier specified.","El transportista especificado no está válido."
"Invalid draw line data. Please define ""lines"" array.","Datos de trazado de línea inválidos. Por favor, define la selección de ""líneas""."
